objectid,palika,district,palika_name,gn_type,province_code,district_code,mun_code,lu_cbs_code,hlcit_id,admin2pcode,indicators,value,Fulltitle,Abstract,Category,Year,value_formula,,,HLICT_Code,Community_school
,Nijgadh Nagarpalika,BARA,Nijgadh,Nagarpalika,2,33,372,20701,524 2 33 3 001,NP0233301,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 2 17 3 002,20
,Kolhabi Nagarpalika,BARA,Kolhabi,Nagarpalika,2,33,370,20702,524 2 33 3 002,NP0233302,e_i_f_n_c_s,40,Community School,,Total number of schools community/institutional,,40,,,524 3 30 4 002,47
,Mahagadhimai Nagarpalika,BARA,Mahagadhimai,Nagarpalika,2,33,371,20714,524 2 33 3 003,NP0233303,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 7 73 4 005,25
,Pacharauta Nagarpalika,BARA,Pacharauta,Nagarpalika,2,33,373,20713,524 2 33 3 004,NP0233304,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 2 32 3 008,30
,Simraungadh Nagarpalika,BARA,Simraungadh,Nagarpalika,2,33,377,20712,524 2 33 3 005,NP0233305,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 5 55 4 002,41
,Parwanipur Gaunpalika,BARA,Parwanipur,Gaunpalika,2,33,374,20704,524 2 33 4 001,NP0233401,e_i_f_n_c_s,6,Community School,,Total number of schools community/institutional,,6,,,524 7 68 4 002,23
,Prasauni Gaunpalika,BARA,Prasauni,Gaunpalika,2,33,376,20705,524 2 33 4 002,NP0233402,e_i_f_n_c_s,9,Community School,,Total number of schools community/institutional,,9,,,524 2 32 3 015,30
,Karaiyamai Gaunpalika,BARA,Karaiyamai,Gaunpalika,2,33,369,20709,524 2 33 4 003,NP0233403,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 1 04 3 006,35
,Bishrampur Gaunpalika,BARA,Bishrampur,Gaunpalika,2,33,365,20706,524 2 33 4 004,NP0233404,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 7 71 3 002,42
,Pheta Gaunpalika,BARA,Pheta,Gaunpalika,2,33,375,20707,524 2 33 4 005,NP0233405,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 1 04 4 003,26
,Baragadhi Gaunpalika,BARA,Baragadhi,Gaunpalika,2,33,364,20710,524 2 33 4 006,NP0233406,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 3 22 4 002,49
,Devtal Gaunpalika,BARA,Devtal,Gaunpalika,2,33,366,20715,524 2 33 4 007,NP0233407,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 2 18 3 002,36
,Suwarna Gaunpalika,BARA,Suwarna,Gaunpalika,2,33,378,20716,524 2 33 4 008,NP0233408,e_i_f_n_c_s,19,Community School,,Total number of schools community/institutional,,19,,,524 5 58 4 001,33
,Adarshkotwal Gaunpalika,BARA,Adarshkotwal,Gaunpalika,2,33,363,20711,524 2 33 4 009,NP0233409,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 4 45 4 004,7
,Parsa Wildlife Reserve Wildlife Reserve,BARA,Parsa Wildlife Reserve,Wildlife Reserve,2,33,343,99982,524 2 33 5 995,NP0233595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 4 40 4 002,40
,Birgunj Mahanagarpalika,PARSA,Birgunj,Mahanagarpalika,2,34,382,20807,524 2 34 1 001,NP0234101,e_i_f_n_c_s,95,Community School,,Total number of schools community/institutional,,95,,,524 7 71 3 003,61
,Pokhariya Nagarpalika,PARSA,Pokhariya,Nagarpalika,2,34,391,20809,524 2 34 3 001,NP0234301,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 5 56 2 002,100
,Bahudaramai Nagarpalika,PARSA,Bahudaramai,Nagarpalika,2,34,380,20808,524 2 34 3 002,NP0234302,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 3 20 4 003,31
,Parsagadhi Nagarpalika,PARSA,Parsagadhi,Nagarpalika,2,34,389,20806,524 2 34 3 003,NP0234303,e_i_f_n_c_s,30,Community School,,Total number of schools community/institutional,,30,,,524 2 19 3 008,23
,Thori Gaunpalika,PARSA,Thori,Gaunpalika,2,34,393,20801,524 2 34 4 001,NP0234401,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 3 25 3 001,35
,Jirabhawani Gaunpalika,PARSA,Jirabhawani,Gaunpalika,2,34,386,20802,524 2 34 4 002,NP0234402,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 71 3 001,51
,Paterwasugauli Gaunpalika,PARSA,Paterwasugauli,Gaunpalika,2,34,390,20804,524 2 34 4 003,NP0234403,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 3 27 3 004,15
,SakhuwaPrasauni Gaunpalika,PARSA,SakhuwaPrasauni,Gaunpalika,2,34,392,20805,524 2 34 4 004,NP0234404,e_i_f_n_c_s,28,Community School,,Total number of schools community/institutional,,28,,,524 3 21 4 003,45
,Jagarnathpur Gaunpalika,PARSA,Jagarnathpur,Gaunpalika,2,34,385,20803,524 2 34 4 005,NP0234405,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 3 20 4 005,57
,Dhobini Gaunpalika,PARSA,Dhobini,Gaunpalika,2,34,384,20811,524 2 34 4 006,NP0234406,e_i_f_n_c_s,11,Community School,,Total number of schools community/institutional,,11,,,524 2 16 3 003,31
,Chhipaharmai Gaunpalika,PARSA,Chhipaharmai,Gaunpalika,2,34,383,20812,524 2 34 4 007,NP0234407,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 4 36 3 002,59
,Kalikamai Gaunpalika,PARSA,Kalikamai,Gaunpalika,2,34,387,20810,524 2 34 4 008,NP0234408,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 3 29 4 002,18
,Pakahamainpur Gaunpalika,PARSA,Pakahamainpur,Gaunpalika,2,34,388,20813,524 2 34 4 009,NP0234409,e_i_f_n_c_s,16,Community School,,Total number of schools community/institutional,,16,,,524 1 05 4 005,23
,Bindabasini Gaunpalika,PARSA,Bindabasini,Gaunpalika,2,34,381,20814,524 2 34 4 010,NP0234410,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 2 32 3 001,27
,Parsa Wildlife Resrve Wildlife Reserve,PARSA,Parsa Wildlife Resrve,Wildlife Reserve,2,34,379,99983,524 2 34 5 995,NP0234595,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 58 3 004,48
,Parsa Wildlife Resrve National Park,PARSA,Parsa Wildlife Resrve,National Park,2,34,344,99984,524 2 34 5 997,NP0234597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 5 51 4 005,31
,Kamalamai Nagarpalika,SINDHULI,Kamalamai,Nagarpalika,3,20,233,31105,524 3 20 3 001,NP0320301,e_i_f_n_c_s,101,Community School,,Total number of schools community/institutional,,101,,,524 6 61 4 005,46
,Dudhouli Nagarpalika,SINDHULI,Dudhouli,Nagarpalika,3,20,229,31101,524 3 20 3 002,NP0320302,e_i_f_n_c_s,80,Community School,,Total number of schools community/institutional,,80,,,524 6 59 3 005,74
,Hariharpurgadhi Gaunpalika,SINDHULI,Hariharpurgadhi,Gaunpalika,3,20,232,31109,524 3 20 4 001,NP0320401,e_i_f_n_c_s,48,Community School,,Total number of schools community/institutional,,48,,,524 6 63 4 007,6
,Marin Gaunpalika,SINDHULI,Marin,Gaunpalika,3,20,234,31108,524 3 20 4 002,NP0320402,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 1 04 4 006,18
,Ghyanglekh Gaunpalika,SINDHULI,Ghyanglekh,Gaunpalika,3,20,230,31107,524 3 20 4 003,NP0320403,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 1 12 3 001,89
,Sunkoshi Gaunpalika,SINDHULI,Sunkoshi,Gaunpalika,3,20,236,10407,524 3 20 4 004,NP0320404,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 2 17 3 007,23
,Golanjor Gaunpalika,SINDHULI,Golanjor,Gaunpalika,3,20,231,31104,524 3 20 4 005,NP0320405,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 2 15 3 009,31
,Tinpatan Gaunpalika,SINDHULI,Tinpatan,Gaunpalika,3,20,237,31103,524 3 20 4 006,NP0320406,e_i_f_n_c_s,87,Community School,,Total number of schools community/institutional,,87,,,524 3 20 4 001,48
,Phikkal Gaunpalika,SINDHULI,Phikkal,Gaunpalika,3,20,235,31102,524 3 20 4 007,NP0320407,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 1 06 4 004,46
,Manthali Nagarpalika,RAMECHHAP,Manthali,Nagarpalika,3,21,242,31005,524 3 21 3 001,NP0321301,e_i_f_n_c_s,87,Community School,,Total number of schools community/institutional,,87,,,524 4 41 4 005,31
,Ramechhap Nagarpalika,RAMECHHAP,Ramechhap,Nagarpalika,3,21,243,31004,524 3 21 3 002,NP0321302,e_i_f_n_c_s,64,Community School,,Total number of schools community/institutional,,64,,,524 2 19 3 005,21
,Sunapati Gaunpalika,RAMECHHAP,Sunapati,Gaunpalika,3,21,244,31008,524 3 21 4 001,NP0321401,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 2 19 3 010,14
,Doramba Gaunpalika,RAMECHHAP,Doramba,Gaunpalika,3,21,238,31007,524 3 21 4 002,NP0321402,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 2 19 3 002,30
,Gokulganga Gaunpalika,RAMECHHAP,Gokulganga,Gaunpalika,3,21,239,31002,524 3 21 4 003,NP0321403,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 1 10 4 007,39
,Umakunda Gaunpalika,RAMECHHAP,Umakunda,Gaunpalika,3,21,245,31001,524 3 21 4 004,NP0321404,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 3 23 4 001,36
,Khadadevi Gaunpalika,RAMECHHAP,Khadadevi,Gaunpalika,3,21,240,31006,524 3 21 4 005,NP0321405,e_i_f_n_c_s,71,Community School,,Total number of schools community/institutional,,71,,,524 3 31 2 001,86
,Likhu Gaunpalika,RAMECHHAP,Likhu,Gaunpalika,3,21,241,10405,524 3 21 4 006,NP0321406,e_i_f_n_c_s,53,Community School,,Total number of schools community/institutional,,53,,,524 1 02 4 001,44
,Bhimeshwor Nagarpalika,DOLAKHA,Bhimeshwor,Nagarpalika,3,22,247,30109,524 3 22 3 001,NP0322301,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 6 63 4 004,22
,Jiri Nagarpalika,DOLAKHA,Jiri,Nagarpalika,3,22,250,30105,524 3 22 3 002,NP0322302,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 7 68 4 001,23
,Bigu Gaunpalika,DOLAKHA,Bigu,Gaunpalika,3,22,248,30102,524 3 22 4 001,NP0322401,e_i_f_n_c_s,42,Community School,,Total number of schools community/institutional,,42,,,524 4 47 4 003,36
,Gaurishankar Gaunpalika,DOLAKHA,Gaurishankar,Gaunpalika,3,22,249,30101,524 3 22 4 002,NP0322402,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 1 03 3 002,58
,Kalinchok Gaunpalika,DOLAKHA,Kalinchok,Gaunpalika,3,22,251,30103,524 3 22 4 003,NP0322403,e_i_f_n_c_s,54,Community School,,Total number of schools community/institutional,,54,,,524 1 06 3 003,40
,Bateshwor Gaunpalika,DOLAKHA,Bateshwor,Gaunpalika,3,22,246,20304,524 3 22 4 004,NP0322404,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 3 31 4 005,24
,Shailung Gaunpalika,DOLAKHA,Shailung,Gaunpalika,3,22,253,30108,524 3 22 4 005,NP0322405,e_i_f_n_c_s,44,Community School,,Total number of schools community/institutional,,44,,,524 3 35 4 001,58
,Melung Gaunpalika,DOLAKHA,Melung,Gaunpalika,3,22,252,30107,524 3 22 4 006,NP0322406,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 3 23 4 005,59
,Tamakoshi Gaunpalika,DOLAKHA,Tamakoshi,Gaunpalika,3,22,254,30106,524 3 22 4 007,NP0322407,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 2 32 3 013,29
,Melamchi Nagarpalika,SINDHUPALCHOK,Melamchi,Nagarpalika,3,23,263,30205,524 3 23 3 001,NP0323301,e_i_f_n_c_s,73,Community School,,Total number of schools community/institutional,,73,,,524 2 19 3 006,47
,Chautara SangachokGadhi Nagarpalika,SINDHUPALCHOK,Chautara SangachokGadhi,Nagarpalika,3,23,258,30207,524 3 23 3 002,NP0323302,e_i_f_n_c_s,86,Community School,,Total number of schools community/institutional,,86,,,524 5 51 4 004,41
,Barhabise Nagarpalika,SINDHUPALCHOK,Barhabise,Nagarpalika,3,23,256,30209,524 3 23 3 003,NP0323303,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 1 06 2 002,39
,Helambu Gaunpalika,SINDHUPALCHOK,Helambu,Gaunpalika,3,23,259,30204,524 3 23 4 001,NP0323401,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 6 62 4 002,11
,Panchpokhari Thangpal Gaunpalika,SINDHUPALCHOK,Panchpokhari Thangpal,Gaunpalika,3,23,264,30203,524 3 23 4 002,NP0323402,e_i_f_n_c_s,34,Community School,,Total number of schools community/institutional,,34,,,524 2 34 4 005,31
,Jugal Gaunpalika,SINDHUPALCHOK,Jugal,Gaunpalika,3,23,261,30202,524 3 23 4 003,NP0323403,e_i_f_n_c_s,45,Community School,,Total number of schools community/institutional,,45,,,524 1 05 4 007,29
,Bhotekoshi Gaunpalika,SINDHUPALCHOK,Bhotekoshi,Gaunpalika,3,23,257,30201,524 3 23 4 004,NP0323404,e_i_f_n_c_s,32,Community School,,Total number of schools community/institutional,,32,,,524 4 43 3 004,77
,Indrawati Gaunpalika,SINDHUPALCHOK,Indrawati,Gaunpalika,3,23,260,30206,524 3 23 4 005,NP0323405,e_i_f_n_c_s,59,Community School,,Total number of schools community/institutional,,59,,,524 2 18 3 009,38
,Balefi Gaunpalika,SINDHUPALCHOK,Balefi,Gaunpalika,3,23,255,30208,524 3 23 4 006,NP0323406,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 4 42 4 001,46
,Sunkoshi Gaunpalika,SINDHUPALCHOK,Sunkoshi,Gaunpalika,3,23,265,10407,524 3 23 4 007,NP0323407,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 2 17 4 006,13
,Tripurasundari Gaunpalika,SINDHUPALCHOK,Tripurasundari,Gaunpalika,3,23,266,30210,524 3 23 4 008,NP0323408,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 5 57 4 003,32
,Lisangkhu Pakhar Gaunpalika,SINDHUPALCHOK,Lisangkhu Pakhar,Gaunpalika,3,23,262,30211,524 3 23 4 009,NP0323409,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 7 71 4 006,29
,Mandandeupur Nagarpalika,KABHREPALANCHOK,Mandandeupur,Nagarpalika,3,24,274,30903,524 3 24 3 001,NP0324301,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 2 17 2 001,61
,Banepa Nagarpalika,KABHREPALANCHOK,Banepa,Nagarpalika,3,24,267,30904,524 3 24 3 002,NP0324302,e_i_f_n_c_s,43,Community School,,Total number of schools community/institutional,,43,,,524 1 12 4 008,37
,Dhulikhel Nagarpalika,KABHREPALANCHOK,Dhulikhel,Nagarpalika,3,24,271,30905,524 3 24 3 003,NP0324303,e_i_f_n_c_s,27,Community School,,Total number of schools community/institutional,,27,,,524 7 67 3 002,54
,Panchkhal Nagarpalika,KABHREPALANCHOK,Panchkhal,Nagarpalika,3,24,277,30906,524 3 24 3 004,NP0324304,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 1 04 4 004,40
,Panauti Nagarpalika,KABHREPALANCHOK,Panauti,Nagarpalika,3,24,276,30909,524 3 24 3 005,NP0324305,e_i_f_n_c_s,39,Community School,,Total number of schools community/institutional,,39,,,524 5 55 4 003,49
,Namobuddha Nagarpalika,KABHREPALANCHOK,Namobuddha,Nagarpalika,3,24,275,30908,524 3 24 3 006,NP0324306,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 2 34 4 002,24
,Bhumlu Gaunpalika,KABHREPALANCHOK,Bhumlu,Gaunpalika,3,24,269,30902,524 3 24 4 001,NP0324401,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 3 22 3 002,35
,Chaurideurali Gaunpalika,KABHREPALANCHOK,Chaurideurali,Gaunpalika,3,24,270,30901,524 3 24 4 002,NP0324402,e_i_f_n_c_s,57,Community School,,Total number of schools community/institutional,,57,,,524 2 33 2 001,61
,Bethanchowk Gaunpalika,KABHREPALANCHOK,Bethanchowk,Gaunpalika,3,24,268,30910,524 3 24 4 003,NP0324403,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 7 70 4 004,58
,Roshi Gaunpalika,KABHREPALANCHOK,Roshi,Gaunpalika,3,24,278,30911,524 3 24 4 004,NP0324404,e_i_f_n_c_s,72,Community School,,Total number of schools community/institutional,,72,,,524 7 71 4 004,25
,Temal Gaunpalika,KABHREPALANCHOK,Temal,Gaunpalika,3,24,279,30907,524 3 24 4 005,NP0324405,e_i_f_n_c_s,49,Community School,,Total number of schools community/institutional,,49,,,524 3 23 4 003,45
,Khanikhola Gaunpalika,KABHREPALANCHOK,Khanikhola,Gaunpalika,3,24,272,30913,524 3 24 4 006,NP0324406,e_i_f_n_c_s,37,Community School,,Total number of schools community/institutional,,37,,,524 6 60 4 001,59
,Mahabharat Gaunpalika,KABHREPALANCHOK,Mahabharat,Gaunpalika,3,24,273,30912,524 3 24 4 007,NP0324407,e_i_f_n_c_s,51,Community School,,Total number of schools community/institutional,,51,,,524 3 30 4 006,42
,Lalitpur Mahanagarpalika,LALITPUR,Lalitpur,Mahanagarpalika,3,25,283,30801,524 3 25 1 001,NP0325101,e_i_f_n_c_s,50,Community School,,Total number of schools community/institutional,,50,,,524 7 70 4 005,34
,Godawari Nagarpalika,LALITPUR,Godawari,Nagarpalika,3,25,281,30803,524 3 25 3 001,NP0325301,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 2 19 3 007,15
,Mahalaxmi Nagarpalika,LALITPUR,Mahalaxmi,Nagarpalika,3,25,284,10701,524 3 25 3 002,NP0325302,e_i_f_n_c_s,14,Community School,,Total number of schools community/institutional,,14,,,524 1 04 4 007,33
,Bagmati Gaunpalika,LALITPUR,Bagmati,Gaunpalika,3,25,280,20503,524 3 25 4 001,NP0325401,e_i_f_n_c_s,46,Community School,,Total number of schools community/institutional,,46,,,524 3 27 3 006,13
,Konjyosom Gaunpalika,LALITPUR,Konjyosom,Gaunpalika,3,25,282,30804,524 3 25 4 002,NP0325402,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 6 62 4 005,14
,Mahankal Gaunpalika,LALITPUR,Mahankal,Gaunpalika,3,25,285,30805,524 3 25 4 003,NP0325403,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 71 4 002,46
,Madhyapur Thimi Nagarpalika,BHAKTAPUR,Madhyapur Thimi,Nagarpalika,3,26,288,30703,524 3 26 3 001,NP0326301,e_i_f_n_c_s,17,Community School,,Total number of schools community/institutional,,17,,,524 3 31 4 003,51
,Changunarayan Nagarpalika,BHAKTAPUR,Changunarayan,Nagarpalika,3,26,287,30701,524 3 26 3 002,NP0326302,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 3 35 3 001,38
,Bhaktapur Nagarpalika,BHAKTAPUR,Bhaktapur,Nagarpalika,3,26,286,30702,524 3 26 3 003,NP0326303,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 3 28 4 009,47
,Suryabinayak Nagarpalika,BHAKTAPUR,Suryabinayak,Nagarpalika,3,26,289,30704,524 3 26 3 004,NP0326304,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 2 33 2 002,67
,Kathmandu Mahanagarpalika,KATHMANDU,Kathmandu,Mahanagarpalika,3,27,295,30601,524 3 27 1 001,NP0327101,e_i_f_n_c_s,135,Community School,,Total number of schools community/institutional,,135,,,524 5 51 4 010,44
,Tarakeshwor Nagarpalika,KATHMANDU,Tarakeshwor,Nagarpalika,3,27,299,30507,524 3 27 3 001,NP0327301,e_i_f_n_c_s,23,Community School,,Total number of schools community/institutional,,23,,,524 4 41 4 006,36
,Tokha Nagarpalika,KATHMANDU,Tokha,Nagarpalika,3,27,300,30605,524 3 27 3 002,NP0327302,e_i_f_n_c_s,10,Community School,,Total number of schools community/institutional,,10,,,524 3 29 4 004,22
,Budhanilakantha Nagarpalika,KATHMANDU,Budhanilakantha,Nagarpalika,3,27,290,30604,524 3 27 3 003,NP0327303,e_i_f_n_c_s,9,Community School,,Total number of schools community/institutional,,9,,,524 6 64 4 005,28
,Gokarneshwor Nagarpalika,KATHMANDU,Gokarneshwor,Nagarpalika,3,27,293,30603,524 3 27 3 004,NP0327304,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 2 34 4 008,13
,Nagarjun Nagarpalika,KATHMANDU,Nagarjun,Nagarpalika,3,27,297,30607,524 3 27 3 005,NP0327305,e_i_f_n_c_s,15,Community School,,Total number of schools community/institutional,,15,,,524 6 53 4 004,52
,Kageshwori Manahora Nagarpalika,KATHMANDU,Kageshwori Manahora,Nagarpalika,3,27,294,30602,524 3 27 3 006,NP0327306,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 3 22 4 003,54
,Shankharapur Nagarpalika,KATHMANDU,Shankharapur,Nagarpalika,3,27,298,30601,524 3 27 3 007,NP0327307,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 2 16 3 006,37
,Chandragiri Nagarpalika,KATHMANDU,Chandragiri,Nagarpalika,3,27,291,30610,524 3 27 3 008,NP0327308,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 7 69 3 003,47
,Kirtipur Nagarpalika,KATHMANDU,Kirtipur,Nagarpalika,3,27,296,30609,524 3 27 3 009,NP0327309,e_i_f_n_c_s,13,Community School,,Total number of schools community/institutional,,13,,,524 1 04 4 001,27
,Dakshinkali Nagarpalika,KATHMANDU,Dakshinkali,Nagarpalika,3,27,292,30611,524 3 27 3 010,NP0327310,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 2 17 3 011,17
,Bidur Nagarpalika,NUWAKOT,Bidur,Nagarpalika,3,28,302,30504,524 3 28 3 001,NP0328301,e_i_f_n_c_s,69,Community School,,Total number of schools community/institutional,,69,,,524 3 20 3 001,101
,Belkotgadhi Nagarpalika,NUWAKOT,Belkotgadhi,Nagarpalika,3,28,301,30508,524 3 28 3 002,NP0328302,e_i_f_n_c_s,55,Community School,,Total number of schools community/institutional,,55,,,524 6 63 4 001,19
,Meghang Gaunpalika,NUWAKOT,Meghang,Gaunpalika,3,28,307,30506,524 3 28 4 001,NP0328401,e_i_f_n_c_s,25,Community School,,Total number of schools community/institutional,,25,,,524 5 48 4 001,19
,Kispang Gaunpalika,NUWAKOT,Kispang,Gaunpalika,3,28,305,30505,524 3 28 4 002,NP0328402,e_i_f_n_c_s,24,Community School,,Total number of schools community/institutional,,24,,,524 2 15 3 005,31
,Tarkeshwar Gaunpalika,NUWAKOT,Tarkeshwar,Gaunpalika,3,28,312,30507,524 3 28 4 003,NP0328403,e_i_f_n_c_s,35,Community School,,Total number of schools community/institutional,,35,,,524 7 67 4 001,5
,Suryagadhi Gaunpalika,NUWAKOT,Suryagadhi,Gaunpalika,3,28,310,30503,524 3 28 4 004,NP0328404,e_i_f_n_c_s,31,Community School,,Total number of schools community/institutional,,31,,,524 1 05 4 003,18
,Tadi Gaunpalika,NUWAKOT,Tadi,Gaunpalika,3,28,311,30502,524 3 28 4 005,NP0328405,e_i_f_n_c_s,36,Community School,,Total number of schools community/institutional,,36,,,524 1 04 3 003,17
,Likhu Gaunpalika,NUWAKOT,Likhu,Gaunpalika,3,28,306,10405,524 3 28 4 006,NP0328406,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 5 49 3 006,60
,Panchakanya Gaunpalika,NUWAKOT,Panchakanya,Gaunpalika,3,28,308,30510,524 3 28 4 007,NP0328407,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 6 53 4 007,26
,Dupcheshwar Gaunpalika,NUWAKOT,Dupcheshwar,Gaunpalika,3,28,303,30501,524 3 28 4 008,NP0328408,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 2 33 4 003,21
,Kakani Gaunpalika,NUWAKOT,Kakani,Gaunpalika,3,28,304,30512,524 3 28 4 009,NP0328409,e_i_f_n_c_s,47,Community School,,Total number of schools community/institutional,,47,,,524 2 16 3 001,23
,Shivapuri Gaunpalika,NUWAKOT,Shivapuri,Gaunpalika,3,28,309,30511,524 3 28 4 010,NP0328410,e_i_f_n_c_s,52,Community School,,Total number of schools community/institutional,,52,,,524 1 05 4 006,20
,Shivapuri Watershed and Wildlife Reserve Watershed & Wildlif*,NUWAKOT,Shivapuri Watershed and Wildlife Reserve,Watershed & Wildlif*,3,28,313,99985,524 3 28 5 996,NP0328596,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 2 32 3 004,24
,Langtang National Park National Park,NUWAKOT,Langtang National Park,National Park,3,28,314,99986,524 3 28 5 997,NP0328597,e_i_f_n_c_s,0,Community School,,Total number of schools community/institutional,,#N/A,,,524 1 14 3 001,84
,Parbati Kunda Gaunpalika,RASUWA,Parbati Kunda,Gaunpalika,3,29,318,30302,524 3 29 4 001,NP0329401,e_i_f_n_c_s,12,Community School,,Total number of schools community/institutional,,12,,,524 4 43 4 005,54
,Gosaikunda Gaunpalika,RASUWA,Gosaikunda,Gaunpalika,3,29,315,30301,524 3 29 4 002,NP0329402,e_i_f_n_c_s,18,Community School,,Total number of schools community/institutional,,18,,,524 3 27 1 001,135
,Uttargaya Gaunpalika,RASUWA,Uttargaya,Gaunpalika,3,29,319,30303,524 3 29 4 003,NP0329403,e_i_f_n_c_s,21,Community School,,Total number of schools community/institutional,,21,,,524 2 19 4 006,14
,Kalika Gaunpalika,RASUWA,Kalika,Gaunpalika,3,29,316,30304,524 3 29 4 004,NP0329404,e_i_f_n_c_s,22,Community School,,Total number of schools community/institutional,,22,,,524 4 47 3 002,37
,Naukunda Gaunpalika,RASUWA,Naukunda,Gaunpalika,3,29,317,30305,524 3 29 4 005,NP0329405,e_i_f_n_c_s,29,Community School,,Total number of schools community/institutional,,29,,,524 7 67 4 005,52
,Nilakantha Nagarpalika,DHADING,Nilakantha,Nagarpalika,3,30,328,30406,524 3 30 3 001,NP0330301,e_i_f_n_c_s,96,Community School,,Total number of schools community/institutional,,96,,,524 1 12 4 002,39
,Dhunibesi Nagarpalika,DHADING,Dhunibesi,Nagarpalika,3,30,321,30413,524 3 30 3 002,NP0330302,e_i_f_n_c_s,41,Community School,,Total number of schools community/institutional,,41,,,524 1 05 4 001,27
