Districts,Palika,HLCIT_CODE,CBS_Code,Age_greater5_M,R_nd_W_M,R_only_M,No_R_nd_W_M,Not_stated_M,Litracy_rate_M,Age_greater5_F,R_nd_W_F,R_only_F,No_R_nd_W_F,Not_stated_F,Litracy_rate_F
Rupandehi,Gaidahawa Gaunpalika,524 5 48 4 003,50805,21008,14766,473,5762,7,70.29,21231,9219,441,11553,18,43.42
Rupandehi,Kanchan Gaunpalika,524 5 48 4 001,50804,13408,10961,283,2149,15,81.75,16878,11352,283,5229,14,67.26
Rupandehi,Kotahimai Gaunpalika,524 5 48 4 008,50814,18818,12092,955,5735,36,64.26,17730,6469,796,10388,77,36.49
Rupandehi,Lumbini Sanskritik Municipality,524 5 48 3 004,50813,31602,20829,1384,9357,32,65.91,32052,13325,1450,17238,39,41.57
Rupandehi,Marchawari Gaunpalika,524 5 48 4 010,50816,17985,11527,414,6032,12,64.09,16712,6146,434,10120,12,36.78
Rupandehi,Mayadevi Gaunpalika,524 5 48 4 005,50812,21083,14840,421,5802,20,70.39,20925,8789,451,11666,19,42
Rupandehi,Om Satiya Gaunpalika,524 5 48 4 006,50809,15250,11589,282,3368,11,75.99,15803,8494,346,6938,25,53.75
Rupandehi,Rohini Gaunpalika,524 5 48 4 007,50810,16638,11738,632,4226,42,70.55,16684,7287,655,8674,68,43.68
Rupandehi,Sainamaina Municipality,524 5 48 3 001,50803,23158,19757,705,2688,8,85.31,28206,20178,859,7148,21,71.54
Rupandehi,Sammarimai Gaunpalika,524 5 48 4 009,50815,17270,11239,309,5696,26,65.08,16567,6382,319,9838,28,38.52
Rupandehi,Siddharthanagar Municipality,524 5 48 3 005,50811,29171,25651,376,3134,10,87.93,29430,21382,490,7520,38,72.65
Rupandehi,Siyari Gaunpalika,524 5 48 4 004,50807,16706,13417,247,3032,10,80.31,18199,10751,298,7132,18,59.07
Rupandehi,Suddhodhan Gaunpalika,524 5 48 4 002,50806,15093,11904,217,2948,24,78.87,16547,9921,257,6353,16,59.96
Rupandehi,Tilottama Municipality,524 5 48 3 003,50808,43296,38149,668,4446,33,88.11,49650,36906,820,11836,88,74.33
Salyan,Bagachour Municipality,524 6 53 3 002,60905,14601,11180,261,3160,0,76.57,15690,9091,384,6210,5,57.94
Salyan,Banagad Kupinde Municipality,524 6 53 3 001,60903,15121,10315,488,4304,14,68.22,16475,7910,559,7987,19,48.01
Salyan,Chhatreshwori Gaunpalika,524 6 53 4 005,60906,8576,6702,194,1675,5,78.15,10575,6291,225,4050,9,59.49
Salyan,Darma Gaunpalika,524 6 53 4 002,60901,8440,5977,196,2267,0,70.82,8978,4729,191,4055,3,52.67
Salyan,Dhorchaur Gaunpalika,524 6 53 4 003,60904,5706,3634,393,1673,6,63.69,6320,2874,405,3033,8,45.47
Salyan,Kalimati Gaunpalika,524 6 53 4 004,60908,9886,7244,446,2194,2,73.28,10390,5696,440,4239,15,54.82
Salyan,Kapurkot Gaunpalika,524 6 53 4 007,60910,7660,5722,171,1765,2,74.7,8399,4945,192,3261,1,58.88
Salyan,Kumakh Malika Gaunpalika,524 6 53 4 001,60902,10433,7477,394,2555,7,71.67,11527,6117,517,4888,5,53.07
Salyan,Sharada Municipality,524 6 53 3 003,60907,13938,11224,684,1994,36,80.53,16413,9997,824,5429,163,60.91
Salyan,Tribeni Gaunpalika,524 6 53 4 006,50206,6839,5117,200,1517,5,74.82,8120,4627,244,3243,6,56.98
Sankhuwasabha,Bhotkhola Gaunpalika,524 1 09 4 002,10201,2831,1644,87,1098,2,58.07,3039,1142,122,1773,2,37.58
Sankhuwasabha,Chainapur Municipality,524 1 09 3 003,10208,11324,9057,300,1962,5,79.98,13334,8588,326,4414,6,64.41
Sankhuwasabha,Chichila Gaunpalika,524 1 09 4 004,10204,3091,2393,104,593,1,77.42,3329,2149,113,1067,0,64.55
Sankhuwasabha,Dharmadevi Municipality,524 1 09 3 004,10210,7487,5998,188,1275,26,80.11,9024,5756,206,2986,76,63.79
Sankhuwasabha,Khandabari Municipality,524 1 09 3 001,10206,13290,10891,348,2044,7,81.95,15129,10071,379,4668,11,66.57
Sankhuwasabha,Madi Municipality,524 1 09 3 005,10209,5947,4726,146,1072,3,79.47,7162,4604,141,2412,5,64.28
Sankhuwasabha,Makalu Gaunpalika,524 1 09 4 001,10202,6049,4118,309,1622,0,68.08,6055,3035,284,2736,0,50.12
Sankhuwasabha,Panchakhapan Municipality,524 1 09 3 002,10207,7251,5664,220,1367,0,78.11,8452,5316,215,2919,2,62.9
Sankhuwasabha,Sabhapokhari Gaunpalika,524 1 09 4 005,10205,4531,3317,119,1093,2,73.21,4982,3096,132,1749,5,62.14
Sankhuwasabha,Silichong Gaunpalika,524 1 09 4 003,10203,5162,3953,145,1064,0,76.58,5492,3509,152,1828,3,63.89
Saptari,Agmisair Krishna Sabaran Gaunpalika,524 2 15 4 002,20103,11532,7538,323,3666,5,65.37,13063,5799,355,6901,8,44.39
