District ,Name of municipalities,HLCIT_CODE,CBS_Code,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,524 2 17 4 005,20318,4130,603,3434,1874,1019,188,62,10,73,2710
Dhanusa,Nagarain Municipality,524 2 17 3 009,20317,6365,1058,5200,2625,2578,230,74,7,155,4114
Dhanusa,Sabaila Municipality,524 2 17 3 006,20309,10073,1482,8407,3974,4503,1146,85,14,153,6939
Dhanusa,Shahidnagar Municipality,524 2 17 3 008,20310,8671,1283,7163,3985,3507,423,75,10,127,5891
Mahottari,Aurahi Municipality,524 2 18 3 003,20216,5822,1667,4113,2073,1618,273,52,2,131,2268
Mahottari,Balawa Municipality,524 2 18 3 007,20407,7661,1568,5934,2477,2919,289,67,19,130,3902
Mahottari,Bardibas Municipality,524 2 18 3 001,20401,13113,2186,10819,5972,3720,2118,311,63,556,7895
Mahottari,Bhangaha Municipality,524 2 18 3 004,20405,8560,2507,5919,2923,2255,278,50,7,117,4128
Mahottari,Ekadara Gaunpalika,524 2 18 4 003,20411,4809,1100,3660,1415,1356,166,45,7,56,2721
Mahottari,Gaushala Municipality,524 2 18 3 002,20402,11893,2398,9236,4421,3648,350,104,18,255,5562
Mahottari,Jaleshwor Municipality,524 2 18 3 009,20415,10034,1752,8099,3675,4369,1212,234,62,391,6009
Mahottari,Loharpatti Municipality,524 2 18 3 008,20406,7317,1219,6053,3147,3245,450,99,12,148,4587
Mahottari,Mahottari Gaunpalika,524 2 18 4 004,20412,4861,1143,3672,1583,1907,69,34,14,35,2369
Mahottari,Manara Shisawa Municipality,524 2 18 3 006,20410,8532,2115,6154,2715,2676,656,83,9,84,4187
Mahottari,Matihani Municipality,524 2 18 3 010,20414,5226,1198,3959,1092,1542,440,64,5,129,2793
Mahottari,Pipara Gaunpalika,524 2 18 4 005,20413,6490,1320,4997,2125,2933,448,101,17,113,3137
Mahottari,Ram Gopalpur Municipality,524 2 18 3 005,20408,5257,1555,3595,1397,1303,163,31,7,110,2465
Mahottari,Samsi Gaunpalika,524 2 18 4 002,20409,5382,2245,3073,1375,874,108,27,3,49,1804
Mahottari,Sonama Gaunpalika,524 2 18 4 001,20403,6341,1343,4822,2486,1156,120,37,4,94,2939
Sarlahi,Bagmati Municipality,524 2 19 3 001,20503,7984,1299,6534,3706,3017,694,116,23,77,4242
Sarlahi,Balara Municipality,524 2 19 3 011,20516,7693,2335,5248,2633,1188,114,50,6,43,3032
Sarlahi,Barahathawa Municipality,524 2 19 3 004,20504,11853,2253,9410,5391,3568,759,151,32,288,6105
Sarlahi,Basbariya Gaunpalika,524 2 19 4 001,20513,3699,1133,2527,1190,522,12,31,6,31,1443
Sarlahi,Bishnu Gaunpalika,524 2 19 4 008,20518,4008,920,2994,1725,200,6,13,4,25,1781
Sarlahi,Brahmapuri Gaunpalika,524 2 19 4 007,20509,4735,1120,3351,1423,1051,71,27,7,45,1954
Sarlahi,Chakraghatta Gaunpalika,524 2 19 4 004,20512,4409,1417,2919,1135,927,53,27,6,23,1414
Sarlahi,Chandranagar Gaunpalika,524 2 19 4 002,20510,5540,1610,3774,1120,1339,72,29,1,42,2243
Sarlahi,Dhanakaul Gaunpalika,524 2 19 4 003,20514,3964,785,3071,1831,178,6,17,22,9,1884
Sarlahi,Godaita Municipality,524 2 19 3 008,20517,7902,2110,5620,2807,1259,68,53,12,33,3119
Sarlahi,Haripur Municipality,524 2 19 3 005,20505,6517,1393,4992,2136,2324,269,73,22,62,3462
Sarlahi,Haripurwa Municipality,524 2 19 3 010,20507,5904,1703,4129,1984,1369,64,40,5,43,2362
Sarlahi,Hariwan Municipality,524 2 19 3 002,20502,8601,940,7493,3974,4163,1725,273,91,317,5219
Sarlahi,Ishworpur Municipality,524 2 19 3 006,20506,11073,1817,8992,4503,4160,864,130,15,188,5982
Sarlahi,Kabilashi Municipality,524 2 19 3 007,20511,6871,2103,4547,1657,1998,209,54,5,98,2799
Sarlahi,Kaudena Gaunpalika,524 2 19 4 006,20519,4073,915,3101,1621,1194,60,30,3,58,1569
Sarlahi,Lalbandi Municipality,524 2 19 3 003,20501,12238,1609,10488,5991,3973,2593,444,96,648,7926
Sarlahi,Malangawa Municipality,524 2 19 3 009,20520,7912,1171,6573,2339,3331,2295,389,128,565,4974
Sarlahi,Parsa Gaunpalika,524 2 19 4 009,20508,3342,978,2307,1184,868,180,24,1,40,1560
Sarlahi,Ramnagar Gaunpalika,524 2 19 4 005,20515,4485,886,3450,1966,408,17,27,6,17,2344
Rautahat,Boudhimai Municipality,524 2 32 3 010,20611,4807,434,4159,1670,698,55,54,1,42,2394
Rautahat,Brindaban Municipality,524 2 32 3 005,20605,6374,984,5078,2091,1305,59,41,8,65,2880
